"","PID","condition","block","effort_choice","effort_choice_RT","Switch","TS_correct","TS_RT","Session"
"86",1,"control",2,1,1.51350393658504,FALSE,1,0.657251353142783,1
"87",1,"control",2,1,3.21577933081426,TRUE,1,1.04833278048318,1
"88",1,"control",2,1,0.300602685194463,FALSE,1,1.33498505933676,1
"89",1,"control",2,1,0.348365157609805,FALSE,1,0.64539090055041,1
"90",1,"control",2,1,0.341208888916299,FALSE,1,0.510161400074139,1
"91",1,"control",2,1,0.706829251837917,FALSE,1,0.676019880222157,1
"92",1,"control",2,1,0.336130236508325,FALSE,1,0.792742110788822,1
"93",1,"control",2,1,0.420541488798335,FALSE,1,0.601238753064536,1
"94",1,"control",2,1,0.27849784202408,FALSE,1,0.483299810672179,1
"95",1,"control",2,1,0.078465060563758,FALSE,1,0.617944281781092,1
"96",1,"control",2,1,0.283494074130431,FALSE,0,0.533641264424659,1
"97",1,"control",2,1,0.230720440624282,FALSE,1,0.56424038624391,1
"98",1,"control",2,1,0.326721868827008,FALSE,1,0.655961551470682,1
"99",1,"control",2,1,0.346459224587306,FALSE,1,0.643543128157035,1
"100",1,"control",2,1,7.39519799011759,FALSE,1,0.956512710778043,1
"101",1,"control",2,1,0.302779517136514,FALSE,1,0.688215923844837,1
"102",1,"control",2,1,0.323383064591326,FALSE,1,0.646035956800915,1
"103",1,"control",2,1,0.336311872466467,FALSE,1,0.409969593863934,1
"104",1,"control",2,1,0.435773713747039,FALSE,1,0.888058982905932,1
"105",1,"control",2,1,0.575641150586307,FALSE,1,0.54223600262776,1
"106",1,"control",2,1,0.412112835561857,TRUE,1,1.28979596984573,1
"107",1,"control",2,1,0.40907945332583,FALSE,1,2.14339834812563,1
"108",1,"control",2,1,0.362714084680192,FALSE,1,0.539107759366743,1
"109",1,"control",2,1,2.59563105483539,FALSE,1,1.95712168875616,1
"110",1,"control",2,1,0.292548189521767,FALSE,1,0.711468121269718,1
"111",1,"control",2,1,0.415333762881346,FALSE,1,0.81508612842299,1
"112",1,"control",2,1,0.514950181473978,FALSE,1,1.37476146046538,1
"113",1,"control",2,1,0.344339620438404,FALSE,1,0.673946929047816,1
"114",1,"control",2,1,0.467232184950262,FALSE,1,0.67044577235356,1
"115",1,"control",2,1,0.32691190240439,FALSE,0,0.696415666141547,1
"116",1,"control",2,1,0.273254659841768,FALSE,1,0.629955579177476,1
"117",1,"control",2,1,0.351398539845832,FALSE,1,0.617017129901797,1
"118",1,"control",2,1,0.406372642610222,FALSE,1,1.48424437979702,1
"119",1,"control",2,1,0.237759143696167,FALSE,1,0.563960467814468,1
"120",1,"control",2,1,0.395988292992115,FALSE,1,0.780182484188117,1
"121",1,"control",2,1,0.403163845068775,TRUE,0,2.35480887873564,1
"122",1,"control",2,1,0.283529841457494,FALSE,0,1.10223697300535,1
"123",1,"control",2,1,0.338216872536577,FALSE,1,1.80308416159824,1
"124",1,"control",2,1,0.299672734225169,FALSE,1,0.670769544551149,1
"125",1,"control",2,1,0.294302966678515,FALSE,0,2.76875061774626,1
"126",1,"control",2,1,0.344107910175808,FALSE,0,0.561255212291144,1
"127",1,"control",2,1,1.36333768058103,FALSE,0,0.62558356532827,1
"128",1,"control",2,1,0.40527038637083,FALSE,0,0.588614434353076,1
"129",1,"control",2,1,0.0856141758849844,FALSE,0,0.722398000769317,1
"130",1,"control",2,1,0.682161600445397,FALSE,1,0.621124776545912,1
"131",1,"control",2,1,0.490017540752888,FALSE,0,0.724585718358867,1
"132",1,"control",2,1,0.472146307467483,FALSE,0,0.514409317052923,1
"133",1,"control",2,1,0.541678343084641,FALSE,0,0.821657367865555,1
"134",1,"control",2,1,0.851979992468841,FALSE,0,2.48826462961733,1
"135",1,"control",2,1,0.229470449616201,FALSE,0,0.803136412985623,1
"136",1,"control",2,1,0.743389079812914,TRUE,1,1.14357998408377,1
"137",1,"control",2,1,0.406202825601213,FALSE,1,2.55605215171818,1
"138",1,"control",2,1,0.5422686599195,FALSE,1,0.671887040953152,1
"139",1,"control",2,1,0.45714672585018,FALSE,1,0.877421773737296,1
