Species,Family,Heterozygosity,Allelic richness,Breeding range size,Body mass,Latitude,Migratory status,References
Aquila chrysaetos,Falconiformes,0.489,4,11830.002,4248,52.68,Migratory,Hughes 2010; Willoughby et al. 2015
Aquila heliaca,Falconiformes,0.624,3.3,2332.2471,3125,37.68,Migratory,Evans and Sheldon 2008; Martinez-Cruz et al. 2002
Buteo buteo,Falconiformes,0.535,4.46,3500.4808,759,32.16,Migratory,Evans and Sheldon 2008; Johnson et al. 2005
Buteo jamaicensis,Falconiformes,0.74,15.12,3430.1352,1101,36.83,Migratory,Hughes 2010; Willoughby et al. 2015
Buteo ridgwayi,Falconiformes,0.78,9.27,3.9746,866,18.97,Resident,Woolaver et al. 2013; Willoughby et al. 2015
Buteo swainsoni,Falconiformes,0.848,18.88,1700.9534,947,12.19,Migratory,Hughes 2010; Hull et al. 2007
Circus cyaneus,Falconiformes,0.527,5.2,6496.0909,393,45.91,Migratory,Baker et al. 2011; Willoughby et al. 2015
Circus macrourus,Falconiformes,0.657,7,1567.2245,384,29.46,Migratory,Baker et al. 2011; Willoughby et al. 2015
Circus pygargus,Falconiformes,0.544,4.67,1676.9431,311,28.23,Migratory,Baker et al. 2011; Willoughby et al. 2015
Falco cherrug,Falconiformes,0.57,5.4,2528.725,961,34.8,Migratory,Johnson et al. 2007; Willoughby et al. 2015
Falco columbarius,Falconiformes,0.581,5.14,3329.054,189,29.79,Migratory,Evans and Sheldon 2008; Nesje et al. 2000
Falco naumanni,Falconiformes,0.681,7.93,1962.5296,152,26.91,Migratory,Padilla et al. 2009; Willoughby et al. 2015
Falco rusticolus,Falconiformes,0.451,3.1,7140.9185,1432,66.38,Migratory,Johnson et al. 2007; Willoughby et al. 2015
Falco sparverius,Falconiformes,0.493,4.2,4764.0224,115,20.17,Migratory,Miller et al. 2012; Willoughby et al. 2015
Falco subbuteo,Falconiformes,0.595,3.45,7707.9679,208,24.32,Migratory,Evans and Sheldon 2008; Nesje et al. 2000
Falco tinnunculus,Falconiformes,0.7,5.93,10022.428,183,32.12,Migratory,Padilla et al. 2009; Willoughby et al. 2015
Gypaetus barbatus,Falconiformes,0.589,6.07,1335.1984,5695,36.73,Resident,Evans and Sheldon 2008; Gautshi et al. 2000
Gyps fulvus,Falconiformes,0.652,5,500.5587,7436,34.32,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Haliaeetus albicilla,Falconiformes,0.468,4,7177.5776,4729,53.12,Migratory,Hailer et al. 2005; Willoughby et al. 2015
Haliaeetus vociferoides,Falconiformes,0.396,2.36,5.7836,3000,17.15,Resident,Hughes 2010; Tingay et al. 2007
Hieraaetus spilogaster,Falconiformes,0.551,4,1305.7188,2193,2.86,Resident,Mira et al. 2005; Willoughby et al. 2015
Neophron percnopterus,Falconiformes,0.53,4.72,2498.7398,2082,22.7,Migratory,Agudo et al. 2008; Willoughby et al. 2015
Nisaetus nipalensis,Falconiformes,0.56,3.67,274.7814,3005,26.77,Migratory,Hirai and Yamazaki 2010; Willoughby et al. 2015
Pandion haliaetus,Falconiformes,0.682,2.2,8874.9655,1483,25.28,Migratory,Dawson et al. 2015
Pernis ptilorhyncus,Falconiformes,0.64,5.6,1825.861,1141,26.63,Migratory,Weng et al. 2009; Willoughby et al. 2015
Spilornis cheela,Falconiformes,0.5,3.83,769.2831,598,25.19,Resident,Hsu et al. 2013; Willoughby et al. 2015
Alectoris graeca,Galliformes,0.38,5.5,100.597,594,42.95,Resident,Randi et al. 2003; Willoughby et al. 2015
Alectoris rufa,Galliformes,0.685,9.36,217.7153,528,47.77,Resident,Hughes 2010; Ferrero et al. 2007
Alectura lathami,Galliformes,0.652,7.71,76.5912,2333,22.76,Resident,Martins et al. 2013; Willoughby et al. 2015
Bonasa bonasia,Galliformes,0.561,10.5,5803.3875,429,58.01,Resident,Sahlsten et al. 2008; Willoughby et al. 2015
Callipepla squamata,Galliformes,0.707,6,189.3439,184,29.9,Resident,Orange et al. 2014
Centrocercus urophasianus,Galliformes,0.614,16.2,252.048,1903,43.61,Resident,Taylor et al. 2003; Willoughby et al. 2015
Chrysolophus pictus,Galliformes,0.772,11.93,130.9644,555,41.26,Resident,Hughes 2010; He et al. 2009
Colinus virginianus,Galliformes,0.646,6.48,652.4172,172,34.48,Resident,Evans and Sheldon 2008; Schable et al. 2004
Crax globulosa,Galliformes,0.717,5.67,6.064,2500,7.78,Resident,Hughes and Larson 2000; Willoughby et al. 2015
Crossoptilon mantchuricum,Galliformes,0.669,6.13,31.0051,1861,39.53,Resident,Hughes 2010; Willoughby et al. 2015
Lagopus leucura,Galliformes,0.765,10.22,629.8347,355,57.42,Resident,Fedy et al. 2008; Willoughby et al. 2015
Lagopus muta,Galliformes,0.87,13,9697.0076,535,63.64,Resident,Caizergues et al.  2003a; Willoughby et al. 2015
Numida meleagris,Galliformes,0.419,3.39,1459.9605,1299,2.54,Resident,Botchway et al. 2013; Willoughby et al. 2015
Odontophorus leucolaemus,Galliformes,0.802,10.22,0.9749,295,9.53,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Perdix perdix,Galliformes,0.665,4.27,3314.382,405,18.31,Resident,Bech et al. 2014
Syrmaticus ellioti,Galliformes,0.376,7.25,59.4388,1008,27.43,Resident,Hughes 2010; Willoughby et al. 2015
Syrmaticus reevesii,Galliformes,0.569,7.1,71.7454,1205,30.57,Resident,Hughes 2010; Wang et al. 2009
Tetrao tetrix,Galliformes,0.759,11,4817.1348,1069,56.88,Resident,Evans and Sheldon 2008; Caizergues et al. 2003b
Tetraophasis szechenyii,Galliformes,0.765,5.2,70.0761,1053,30.15,Resident,Hughes 2010; Willoughby et al. 2015
Tragopan temminckii,Galliformes,0.768,12.25,163.0218,1163,28.33,Resident,Hughes 2010; Willoughby et al. 2015
Tympanuchus cupido,Galliformes,0.731,10.5,613.1106,870,42.19,Resident,Johnson et al. 2003; Willoughby et al. 2015
